trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.8, 'e': 0.4612219674180955}",20,0,-26.72837362215185,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.8, 'e': 0.45660974774391455}",30,17,-8.272559400879713,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.4520436502664754}",25,8,1.8121911709202063,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.44752321376381066}",25,10,15.392276965638521,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.44304798162617254}",30,1,-76.25048450355654,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 1}",1
82,False,"{'a': 0.8, 'e': 0.4386175018099108}",25,14,-10.691452351580562,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.4342313267918117}",20,1,-36.68727973378605,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.4298890135238936}",20,5,15.154253288338483,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.42559012338865465}",20,0,17.36345675414136,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.8, 'e': 0.4213342221547681}",30,0,-21.022711358954894,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.8, 'e': 0.41712087993322045}",20,2,-85.32334224546219,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
88,False,"{'a': 0.8, 'e': 0.41294967113388825}",35,11,-0.02872271794057335,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.40882017442254937}",20,7,-3.3886687843438423,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.4047319726783239}",20,0,-14.661686979453838,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.40068465295154065}",20,10,-77.1375874001996,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
